size,set,algorithm,timing
400,7,divide_n_conquer,2.017974853515625
400,7,linear_time,0.10895729064941406
400,8,enumeration,169.5871353149414
400,8,better_enumeration,10.124921798706055
400,8,divide_n_conquer,2.028942108154297
400,8,linear_time,0.10991096496582031
400,9,enumeration,167.0968532562256
400,9,better_enumeration,10.149955749511719
400,9,divide_n_conquer,2.0210742950439453
400,9,linear_time,0.11086463928222656
400,10,enumeration,173.9051342010498
400,10,better_enumeration,10.150909423828125
400,10,divide_n_conquer,2.0270347595214844
400,10,linear_time,0.11086463928222656
500,1,enumeration,321.3789463043213
500,1,better_enumeration,15.851974487304688
500,1,divide_n_conquer,2.5720596313476562
500,1,linear_time,0.14400482177734375
500,2,enumeration,319.1850185394287
500,2,better_enumeration,15.822887420654297
500,2,divide_n_conquer,2.5789737701416016
