set,size,algorithm,timing
172,2172,changegreedy,0.013113022
172,2172,changedp,13.21983337
173,2173,changegreedy,0.020980835
173,2173,changedp,12.89200783
174,2174,changegreedy,0.01502037
174,2174,changedp,13.15188408
175,2175,changegreedy,0.020980835
175,2175,changedp,13.77177238
176,2176,changegreedy,0.01502037
176,2176,changedp,12.87794113
177,2177,changegreedy,0.030040741
177,2177,changedp,14.03403282
178,2178,changegreedy,0.017166138
178,2178,changedp,20.08199692
179,2179,changegreedy,0.019073486
179,2179,changedp,13.74101639
180,2180,changegreedy,0.026941299
180,2180,changedp,14.37902451
181,2181,changegreedy,0.029087067
181,2181,changedp,13.00597191
182,2182,changegreedy,0.021934509
182,2182,changedp,13.78583908
183,2183,changegreedy,0.01502037
183,2183,changedp,13.60106468
184,2184,changegreedy,0.020027161
184,2184,changedp,13.51499557
185,2185,changegreedy,0.014066696
185,2185,changedp,13.20099831
186,2186,changegreedy,0.022888184
186,2186,changedp,13.61203194
187,2187,changegreedy,0.014066696
187,2187,changedp,13.31996918
188,2188,changegreedy,0.019073486
188,2188,changedp,13.17310333
189,2189,changegreedy,0.011920929
189,2189,changedp,13.25583458
190,2190,changegreedy,0.020980835
190,2190,changedp,13.58318329
191,2191,changegreedy,0.013113022
191,2191,changedp,15.04206657
192,2192,changegreedy,0.023126602
192,2192,changedp,13.46206665
193,2193,changegreedy,0.01502037
193,2193,changedp,13.39507103
194,2194,changegreedy,0.020980835
194,2194,changedp,13.59701157
195,2195,changegreedy,0.014066696
195,2195,changedp,13.28611374
196,2196,changegreedy,0.021934509
196,2196,changedp,16.8159008
197,2197,changegreedy,0.012874603
197,2197,changedp,13.25392723
198,2198,changegreedy,0.022888184
198,2198,changedp,13.62204552
199,2199,changegreedy,0.013828278
199,2199,changedp,13.55695724
200,2200,changegreedy,0.025987625
200,2200,changedp,13.45396042
