set,size,algorithm,coins
80,2080,changegreedy,18
80,2080,changedp,18
81,2081,changegreedy,19
81,2081,changedp,19
82,2082,changegreedy,20
82,2082,changedp,20
83,2083,changegreedy,21
83,2083,changedp,21
84,2084,changegreedy,22
84,2084,changedp,22
85,2085,changegreedy,23
85,2085,changedp,20
86,2086,changegreedy,19
86,2086,changedp,19
87,2087,changegreedy,18
87,2087,changedp,18
88,2088,changegreedy,19
88,2088,changedp,19
89,2089,changegreedy,20
89,2089,changedp,20
90,2090,changegreedy,21
90,2090,changedp,21
91,2091,changegreedy,22
91,2091,changedp,21
92,2092,changegreedy,23
92,2092,changedp,20
93,2093,changegreedy,19
93,2093,changedp,19
94,2094,changegreedy,20
94,2094,changedp,20
95,2095,changegreedy,21
95,2095,changedp,21
96,2096,changegreedy,22
96,2096,changedp,20
97,2097,changegreedy,23
97,2097,changedp,21
98,2098,changegreedy,17
98,2098,changedp,17
99,2099,changegreedy,18
99,2099,changedp,18
100,2100,changegreedy,14
100,2100,changedp,14
101,2101,changegreedy,15
101,2101,changedp,15
102,2102,changegreedy,16
102,2102,changedp,16
103,2103,changegreedy,17
103,2103,changedp,17
104,2104,changegreedy,18
104,2104,changedp,18
105,2105,changegreedy,19
105,2105,changedp,19
106,2106,changegreedy,15
106,2106,changedp,15
107,2107,changegreedy,16
107,2107,changedp,16
108,2108,changegreedy,17
108,2108,changedp,17
109,2109,changegreedy,18
109,2109,changedp,18
110,2110,changegreedy,19
110,2110,changedp,19
111,2111,changegreedy,20
111,2111,changedp,18
112,2112,changegreedy,16
112,2112,changedp,16
113,2113,changegreedy,15
113,2113,changedp,15
114,2114,changegreedy,16
114,2114,changedp,16
115,2115,changegreedy,17
115,2115,changedp,17
116,2116,changegreedy,18
116,2116,changedp,18
117,2117,changegreedy,19
117,2117,changedp,19
118,2118,changegreedy,20
118,2118,changedp,17
119,2119,changegreedy,16
119,2119,changedp,16
120,2120,changegreedy,17
120,2120,changedp,17
121,2121,changegreedy,18
121,2121,changedp,18
122,2122,changegreedy,19
122,2122,changedp,19
123,2123,changegreedy,20
123,2123,changedp,20
124,2124,changegreedy,21
124,2124,changedp,18
125,2125,changegreedy,17
125,2125,changedp,17
126,2126,changegreedy,16
126,2126,changedp,16
127,2127,changegreedy,17
127,2127,changedp,17
128,2128,changegreedy,18
128,2128,changedp,18
129,2129,changegreedy,19
129,2129,changedp,19
130,2130,changegreedy,20
130,2130,changedp,19
131,2131,changegreedy,21
131,2131,changedp,18
132,2132,changegreedy,17
132,2132,changedp,17
133,2133,changegreedy,18
133,2133,changedp,18
134,2134,changegreedy,19
134,2134,changedp,19
135,2135,changegreedy,20
135,2135,changedp,18
136,2136,changegreedy,21
136,2136,changedp,19
137,2137,changegreedy,15
137,2137,changedp,15
138,2138,changegreedy,16
138,2138,changedp,16
139,2139,changegreedy,17
139,2139,changedp,17
140,2140,changegreedy,18
140,2140,changedp,18
141,2141,changegreedy,19
141,2141,changedp,19
142,2142,changegreedy,20
142,2142,changedp,20
143,2143,changegreedy,16
143,2143,changedp,16
144,2144,changegreedy,17
144,2144,changedp,17
145,2145,changegreedy,18
145,2145,changedp,18
146,2146,changegreedy,19
146,2146,changedp,19
147,2147,changegreedy,20
147,2147,changedp,20
148,2148,changegreedy,21
148,2148,changedp,19
149,2149,changegreedy,17
149,2149,changedp,17
150,2150,changegreedy,16
150,2150,changedp,16
151,2151,changegreedy,17
151,2151,changedp,17
152,2152,changegreedy,18
152,2152,changedp,18
153,2153,changegreedy,19
153,2153,changedp,19
154,2154,changegreedy,20
154,2154,changedp,20
155,2155,changegreedy,21
155,2155,changedp,18
156,2156,changegreedy,17
156,2156,changedp,17
157,2157,changegreedy,18
157,2157,changedp,18
158,2158,changegreedy,19
158,2158,changedp,19
159,2159,changegreedy,20
159,2159,changedp,20
160,2160,changegreedy,21
160,2160,changedp,21
161,2161,changegreedy,22
161,2161,changedp,19
162,2162,changegreedy,18
162,2162,changedp,18
163,2163,changegreedy,17
163,2163,changedp,17
164,2164,changegreedy,18
164,2164,changedp,18
165,2165,changegreedy,19
165,2165,changedp,19
166,2166,changegreedy,20
166,2166,changedp,20
167,2167,changegreedy,21
167,2167,changedp,20
168,2168,changegreedy,22
168,2168,changedp,19
169,2169,changegreedy,18
169,2169,changedp,18
170,2170,changegreedy,19
170,2170,changedp,19
171,2171,changegreedy,20
171,2171,changedp,20
172,2172,changegreedy,21
172,2172,changedp,19
173,2173,changegreedy,22
173,2173,changedp,20
174,2174,changegreedy,16
174,2174,changedp,16
175,2175,changegreedy,17
175,2175,changedp,17
176,2176,changegreedy,18
176,2176,changedp,18
177,2177,changegreedy,19
177,2177,changedp,19
178,2178,changegreedy,20
178,2178,changedp,20
179,2179,changegreedy,21
179,2179,changedp,21
180,2180,changegreedy,17
180,2180,changedp,17
181,2181,changegreedy,18
181,2181,changedp,18
182,2182,changegreedy,19
182,2182,changedp,19
183,2183,changegreedy,20
183,2183,changedp,20
184,2184,changegreedy,21
184,2184,changedp,21
185,2185,changegreedy,22
185,2185,changedp,20
186,2186,changegreedy,18
186,2186,changedp,18
187,2187,changegreedy,17
187,2187,changedp,17
188,2188,changegreedy,18
188,2188,changedp,18
189,2189,changegreedy,19
189,2189,changedp,19
190,2190,changegreedy,20
