set,size,algorithm,timing
28,2150,changedp,13.14997673034668
29,2155,changegreedy,0.014066696166992188
29,2155,changedp,13.087034225463867
30,2160,changegreedy,0.027179718017578125
30,2160,changedp,12.814044952392578
31,2165,changegreedy,0.012874603271484375
31,2165,changedp,13.35906982421875
32,2170,changegreedy,0.03695487976074219
32,2170,changedp,12.335062026977539
33,2175,changegreedy,0.014066696166992188
33,2175,changedp,12.76397705078125
34,2180,changegreedy,0.02288818359375
34,2180,changedp,17.917871475219727
35,2185,changegreedy,0.013113021850585938
35,2185,changedp,13.497114181518555
36,2190,changegreedy,0.025987625122070312
36,2190,changedp,13.694047927856445
37,2195,changegreedy,0.012874603271484375
37,2195,changedp,13.561010360717773
38,2200,changegreedy,0.019073486328125
38,2200,changedp,13.752937316894531
0,2000,changegreedy,0.014066696166992188
0,2000,changedp,15.018939971923828
1,2001,changegreedy,0.026941299438476562
1,2001,changedp,14.83297348022461
2,2002,changegreedy,0.013113021850585938
2,2002,changedp,15.383005142211914
3,2003,changegreedy,0.015974044799804688
3,2003,changedp,14.944076538085938
4,2004,changegreedy,0.013113021850585938
4,2004,changedp,15.857219696044922
5,2005,changegreedy,0.016927719116210938
5,2005,changedp,15.100955963134766
6,2006,changegreedy,0.012874603271484375
6,2006,changedp,15.538930892944336
7,2007,changegreedy,0.02002716064453125
7,2007,changedp,14.904975891113281
8,2008,changegreedy,0.04601478576660156
8,2008,changedp,15.333890914916992
9,2009,changegreedy,0.013828277587890625
9,2009,changedp,15.555143356323242
10,2010,changegreedy,0.025987625122070312
10,2010,changedp,23.65589141845703
11,2011,changegreedy,0.02193450927734375
11,2011,changedp,17.011165618896484
12,2012,changegreedy,0.015020370483398438
12,2012,changedp,15.468835830688477
13,2013,changegreedy,0.024080276489257812
13,2013,changedp,23.91219139099121
14,2014,changegreedy,0.015020370483398438
14,2014,changedp,20.09105682373047
15,2015,changegreedy,0.015974044799804688
15,2015,changedp,15.558004379272461
16,2016,changegreedy,0.026226043701171875
16,2016,changedp,16.01696014404297
17,2017,changegreedy,0.012874603271484375
17,2017,changedp,17.466068267822266
18,2018,changegreedy,0.015020370483398438
18,2018,changedp,15.820026397705078
19,2019,changegreedy,0.02002716064453125
19,2019,changedp,15.654802322387695
20,2020,changegreedy,0.014066696166992188
20,2020,changedp,17.13705062866211
21,2021,changegreedy,0.02193450927734375
21,2021,changedp,17.1658992767334
22,2022,changegreedy,0.028848648071289062
22,2022,changedp,20.188093185424805
23,2023,changegreedy,0.015974044799804688
23,2023,changedp,15.81883430480957
24,2024,changegreedy,0.02193450927734375
24,2024,changedp,14.881134033203125
25,2025,changegreedy,0.016927719116210938
25,2025,changedp,16.183853149414062
26,2026,changegreedy,0.015020370483398438
26,2026,changedp,15.354156494140625
27,2027,changegreedy,0.031948089599609375
27,2027,changedp,15.425920486450195
28,2028,changegreedy,0.015020370483398438
28,2028,changedp,15.904903411865234
29,2029,changegreedy,0.027179718017578125
29,2029,changedp,15.344858169555664
30,2030,changegreedy,0.013828277587890625
30,2030,changedp,16.499042510986328
31,2031,changegreedy,0.02193450927734375
31,2031,changedp,17.315149307250977
32,2032,changegreedy,0.02384185791015625
32,2032,changedp,15.110969543457031
33,2033,changegreedy,0.030040740966796875
33,2033,changedp,15.28477668762207
34,2034,changegreedy,0.015020370483398438
34,2034,changedp,15.675067901611328
35,2035,changegreedy,0.02002716064453125
35,2035,changedp,15.272140502929688
36,2036,changegreedy,0.015020370483398438
36,2036,changedp,15.802145004272461
37,2037,changegreedy,0.0209808349609375
37,2037,changedp,14.844894409179688
38,2038,changegreedy,0.011920928955078125
38,2038,changedp,16.99090003967285
39,2039,changegreedy,0.025987625122070312
39,2039,changedp,15.527963638305664
40,2040,changegreedy,0.014066696166992188
40,2040,changedp,15.547990798950195
41,2041,changegreedy,0.015974044799804688
41,2041,changedp,15.684843063354492
42,2042,changegreedy,0.04696846008300781
42,2042,changedp,15.687942504882812
43,2043,changegreedy,0.015020370483398438
43,2043,changedp,16.649961471557617
44,2044,changegreedy,0.01811981201171875
44,2044,changedp,15.767097473144531
45,2045,changegreedy,0.012874603271484375
45,2045,changedp,23.350954055786133
46,2046,changegreedy,0.016927719116210938
46,2046,changedp,16.557931900024414
47,2047,changegreedy,0.02002716064453125
47,2047,changedp,16.01886749267578
