set,size,algorithm,timing,n
121,2121,changegreedy,0.039100647,7
121,2121,changedp,20.73001862,7
122,2122,changegreedy,0.014066696,7
122,2122,changedp,16.9069767,7
123,2123,changegreedy,0.017881393,7
123,2123,changedp,15.93708992,7
124,2124,changegreedy,0.030994415,7
124,2124,changedp,16.07990265,7
125,2125,changegreedy,0.01502037,7
125,2125,changedp,16.77513123,7
126,2126,changegreedy,0.015974045,7
126,2126,changedp,15.90919495,7
127,2127,changegreedy,0.013828278,7
127,2127,changedp,17.41790771,7
128,2128,changegreedy,0.025987625,7
128,2128,changedp,20.61104774,7
129,2129,changegreedy,0.020980835,7
129,2129,changedp,16.37291908,7
130,2130,changegreedy,0.027179718,7
130,2130,changedp,16.76177979,7
131,2131,changegreedy,0.013828278,7
131,2131,changedp,16.62898064,7
132,2132,changegreedy,0.01502037,7
132,2132,changedp,16.33000374,7
133,2133,changegreedy,0.015974045,7
133,2133,changedp,18.18394661,7
134,2134,changegreedy,0.017166138,7
134,2134,changedp,16.48211479,7
135,2135,changegreedy,0.015974045,7
135,2135,changedp,16.05200768,7
136,2136,changegreedy,0.014066696,7
136,2136,changedp,16.67404175,7
137,2137,changegreedy,0.018835068,7
137,2137,changedp,22.05109596,7
138,2138,changegreedy,0.032186508,7
138,2138,changedp,16.46590233,7
139,2139,changegreedy,0.015974045,7
139,2139,changedp,16.4680481,7
140,2140,changegreedy,0.023841858,7
140,2140,changedp,15.79594612,7
141,2141,changegreedy,0.014066696,7
141,2141,changedp,16.84117317,7
142,2142,changegreedy,0.014066696,7
142,2142,changedp,15.82503319,7
143,2143,changegreedy,0.028848648,7
143,2143,changedp,16.42394066,7
144,2144,changegreedy,0.014781952,7
144,2144,changedp,16.30282402,7
145,2145,changegreedy,0.025987625,7
145,2145,changedp,16.30496979,7
146,2146,changegreedy,0.014066696,7
146,2146,changedp,16.78490639,7
147,2147,changegreedy,0.01502037,7
147,2147,changedp,16.17598534,7
148,2148,changegreedy,0.035047531,7
148,2148,changedp,15.88916779,7
149,2149,changegreedy,0.017881393,7
149,2149,changedp,21.4099884,7
150,2150,changegreedy,0.01502037,7
150,2150,changedp,19.40894127,7
151,2151,changegreedy,0.020027161,7
151,2151,changedp,16.69311523,7
152,2152,changegreedy,0.030040741,7
152,2152,changedp,17.30012894,7
153,2153,changegreedy,0.014066696,7
153,2153,changedp,16.41702652,7
154,2154,changegreedy,0.035047531,7
154,2154,changedp,16.28899574,7
155,2155,changegreedy,0.013828278,7
155,2155,changedp,17.20094681,7
156,2156,changegreedy,0.015974045,7
156,2156,changedp,16.02101326,7
157,2157,changegreedy,0.011920929,7
157,2157,changedp,16.46494865,7
158,2158,changegreedy,0.016212463,7
158,2158,changedp,16.60990715,7
159,2159,changegreedy,0.019073486,7
159,2159,changedp,16.35289192,7
160,2160,changegreedy,0.011920929,7
160,2160,changedp,16.84594154,7
161,2161,changegreedy,0.013828278,7
161,2161,changedp,16.11709595,7
162,2162,changegreedy,0.034809113,7
162,2162,changedp,16.45612717,7
163,2163,changegreedy,0.016212463,7
163,2163,changedp,17.72689819,7
164,2164,changegreedy,0.015974045,7
164,2164,changedp,21.43096924,7
165,2165,changegreedy,0.019073486,7
165,2165,changedp,17.45676994,7
166,2166,changegreedy,0.01502037,7
166,2166,changedp,16.57605171,7
167,2167,changegreedy,0.022172928,7
167,2167,changedp,17.23599434,7
168,2168,changegreedy,0.015974045,7
168,2168,changedp,16.63303375,7
169,2169,changegreedy,0.029087067,7
169,2169,changedp,15.79189301,7
170,2170,changegreedy,0.036001205,7
170,2170,changedp,18.62502098,7
171,2171,changegreedy,0.015974045,7
171,2171,changedp,16.09611511,7
172,2172,changegreedy,0.023126602,7
172,2172,changedp,17.51899719,7
173,2173,changegreedy,0.014781952,7
173,2173,changedp,16.98303223,7
174,2174,changegreedy,0.020027161,7
174,2174,changedp,16.23702049,7
175,2175,changegreedy,0.013113022,7
175,2175,changedp,17.11916924,7
176,2176,changegreedy,0.014066696,7
176,2176,changedp,16.14499092,7
177,2177,changegreedy,0.014066696,7
177,2177,changedp,16.44802094,7
178,2178,changegreedy,0.014781952,7
178,2178,changedp,18.09692383,7
179,2179,changegreedy,0.015974045,7
179,2179,changedp,16.22390747,7
180,2180,changegreedy,0.028133392,7
180,2180,changedp,18.32818985,7
181,2181,changegreedy,0.020980835,7
181,2181,changedp,18.78905296,7
182,2182,changegreedy,0.014066696,7
182,2182,changedp,16.69502258,7
183,2183,changegreedy,0.034809113,7
183,2183,changedp,16.54601097,7
184,2184,changegreedy,0.013828278,7
184,2184,changedp,20.49994469,7
185,2185,changegreedy,0.014781952,7
185,2185,changedp,16.41607285,7
186,2186,changegreedy,0.012874603,7
186,2186,changedp,23.2360363,7
187,2187,changegreedy,0.015974045,7
187,2187,changedp,16.9210434,7
188,2188,changegreedy,0.015974045,7
188,2188,changedp,16.53695107,7
189,2189,changegreedy,0.034093857,7
189,2189,changedp,16.84713364,7
190,2190,changegreedy,0.014066696,7
190,2190,changedp,17.09914207,7
191,2191,changegreedy,0.015974045,7
191,2191,changedp,16.3807869,7
192,2192,changegreedy,0.01502037,7
192,2192,changedp,19.44994926,7
193,2193,changegreedy,0.018835068,7
193,2193,changedp,18.83888245,7
194,2194,changegreedy,0.018119812,7
194,2194,changedp,19.66309547,7
195,2195,changegreedy,0.036001205,7
195,2195,changedp,16.0639286,7
196,2196,changegreedy,0.018119812,7
196,2196,changedp,20.45512199,7
197,2197,changegreedy,0.01502037,7
197,2197,changedp,17.73905754,7
198,2198,changegreedy,0.01502037,7
198,2198,changedp,17.13204384,7
199,2199,changegreedy,0.021934509,7
199,2199,changedp,16.97492599,7
200,2200,changegreedy,0.014066696,7
200,2200,changedp,20.92385292,7
0,2000,changegreedy,0.019073486,5
0,2000,changedp,15.42496681,5
1,2001,changegreedy,0.019073486,5
1,2001,changedp,13.38601112,5
2,2002,changegreedy,0.021219254,5
2,2002,changedp,13.84806633,5
3,2003,changegreedy,0.03194809,5
3,2003,changedp,16.60513878,5
4,2004,changegreedy,0.014066696,5
4,2004,changedp,12.45188713,5
5,2005,changegreedy,0.017166138,5
5,2005,changedp,11.94310188,5
6,2006,changegreedy,0.011920929,5
6,2006,changedp,12.1819973,5
7,2007,changegreedy,0.025033951,5
7,2007,changedp,18.51701736,5
8,2008,changegreedy,0.013828278,5
8,2008,changedp,12.09712029,5
9,2009,changegreedy,0.027894974,5
9,2009,changedp,11.97600365,5
10,2010,changegreedy,0.014066696,5
10,2010,changedp,17.9669857,5
11,2011,changegreedy,0.020027161,5
11,2011,changedp,26.30710602,5
12,2012,changegreedy,0.018835068,5
12,2012,changedp,21.42000198,5
13,2013,changegreedy,0.023126602,5
13,2013,changedp,12.92490959,5
14,2014,changegreedy,0.025033951,5
14,2014,changedp,17.5011158,5
15,2015,changegreedy,0.035047531,5
15,2015,changedp,12.28284836,5
16,2016,changegreedy,0.018835068,5
16,2016,changedp,18.846035,5
17,2017,changegreedy,0.015974045,5
17,2017,changedp,12.17985153,5
18,2018,changegreedy,0.012874603,5
18,2018,changedp,12.27998734,5
19,2019,changegreedy,0.037908554,5
19,2019,changedp,12.18795776,5
20,2020,changegreedy,0.014781952,5
20,2020,changedp,12.65406609,5
21,2021,changegreedy,0.024080276,5
21,2021,changedp,11.92307472,5
22,2022,changegreedy,0.015974045,5
22,2022,changedp,11.50012016,5
23,2023,changegreedy,0.012874603,5
23,2023,changedp,11.93094254,5
24,2024,changegreedy,0.014066696,5
24,2024,changedp,12.38203049,5
25,2025,changegreedy,0.022888184,5
25,2025,changedp,12.27903366,5
26,2026,changegreedy,0.030040741,5
26,2026,changedp,12.4270916,5
27,2027,changegreedy,0.016927719,5
27,2027,changedp,11.7650032,5
28,2028,changegreedy,0.022888184,5
28,2028,changedp,12.19797134,5
